Time(ms),Position_x,Position_y,Position_z,Rotation_x,Rotation_y,Rotation_z,Rotation_w, Speed (km/h) ,Steering Wheel Position_-1,Steering Wheel Position_1, Gas Pedal Position , Brake Pedal Position , Engine Running , Distance Ahead (meters), Time To Collision (sec) , Headway Time (sec)
1,-10.5,0.035,-230,-0.0015,1,-0.0014,0.0,5.25,-0.00026,0,0,TRUE,0,0,0,0.25579545
175,-10.5,0.101,-230,-0.0015,1,-0.0018,0.0,5.74,-0.00026,0,0,TRUE,0,0,0,0
309,-10.5,0.155,-230,-0.001,1,-0.0016,0.0,4.32,-0.00026,0,0,TRUE,0,0,0,0
426,-10.5,0.194,-230,-0.0005,1,-0.0014,0.0,2.91,-0.00026,0,0,TRUE,0,0,0,0
557,-10.5,0.216,-230,0.0,1,-0.0012,0.0,1.5,-0.00026,0,0,TRUE,0,0,0,0
662,-10.5,0.223,-230,0.0005,1,-0.001,0.0,0.08,-0.00026,0,0,TRUE,0,0,0,0
780,-10.5,0.214,-230,0.0009,1,-0.0008,0.0,1.32,-0.00026,0,0,TRUE,0,0,0,0
884,-10.5,0.19,-230,0.0014,1,-0.0006,0.0,2.73,-0.00026,0,0,TRUE,0,0,0,0
999,-10.5,0.155,-230,0.0013,1,-0.0005,0.0,2.67,-0.00026,0,0,TRUE,0,0,0,0
1125,-10.5,0.139,-230,-0.0002,1,-0.0009,0.0,0.74,-0.00026,0,0,TRUE,0,0,0,0
1218,-10.5,0.141,-230,-0.0011,1,-0.0011,0.0,0.52,-0.00026,0,0,TRUE,0,0,0,0
1316,-10.501,0.148,-230,-0.0009,1,-0.0009,0.0,0.69,-0.00026,0,0,TRUE,0,0,0,0.06817223
1426,-10.5,0.154,-230,-0.0006,1,-0.0006,0.0,0.41,-0.00026,0,0,TRUE,0,0,0,-0.11628751
1523,-10.5,0.157,-230,-0.0004,1,-0.0004,0.0,0.13,-0.00026,0,0,TRUE,0,0,0,0
1622,-10.5,0.157,-230,-0.0004,1,-0.0004,0.0,0.01,-0.00026,0,0,TRUE,0,0,0,NaN
1730,-10.5,0.157,-230,-0.0004,1,-0.0004,0.0,0.06,-0.00026,0,0,TRUE,0,0,0,NaN
1829,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.05,-0.00026,0,0,TRUE,0,0,0,0
1926,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00026,0,0,TRUE,0,0,0,NaN
2021,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00026,0,0,TRUE,0,0,0,NaN
2106,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00026,0,0,TRUE,0,0,0,NaN
2200,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00026,0,0,TRUE,0,0,0,NaN
2287,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0,-0.00026,0,0,TRUE,0,0,0,NaN
2409,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0,-0.00026,0,0,TRUE,0,0,0,NaN
2495,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0,-0.00026,0,0,TRUE,0,0,0,NaN
2584,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0,-0.0003,0,0,TRUE,0,0,0,NaN
2732,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0,-0.00075,0,0,TRUE,0,0,0,NaN
2989,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0,-0.00162,0,0,TRUE,0,0,0,NaN
3134,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0,-0.00425,0,0,TRUE,0,0,0,NaN
3284,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0,-0.00471,0,0,TRUE,0,0,0,NaN
3364,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00471,0,0,TRUE,0,0,0,0
3447,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00472,0,0,TRUE,0,0,0,NaN
3598,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00516,0,0,TRUE,0,0,0,NaN
3732,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00671,0,0,TRUE,0,0,0,NaN
3884,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00844,0.10316622,0,TRUE,0,0,0,NaN
4089,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00884,0.16269171,0,TRUE,0,0,0,NaN
4228,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00925,0.32936597,0,TRUE,0,0,0,NaN
4346,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00931,0.36110473,0,TRUE,0,0,0,NaN
4483,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00954,0.39284354,0,TRUE,0,0,0,NaN
4620,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.01015,0.42459756,0,TRUE,0,0,0,NaN
4715,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.01017,0.4007935,0,TRUE,0,0,0,NaN
4800,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.01017,0.39682615,0,TRUE,0,0,0,NaN
4887,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.01017,0.3809415,0,TRUE,0,0,0,NaN
4970,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.01017,0.3809415,0,TRUE,0,0,0,NaN
5053,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.01018,0.3809415,0,TRUE,0,0,0,NaN
5136,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.01018,0.3809415,0,TRUE,0,0,0,NaN
5220,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.01018,0.3809415,0,TRUE,0,0,0,NaN
5337,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.01018,0.3809415,0,TRUE,0,0,0,NaN
5438,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.0103,0.37697417,0,TRUE,0,0,0,NaN
5619,-10.5,0.156,-229.998,-0.0004,1,-0.0005,0.0,0,-0.01059,0.37697417,0,TRUE,0,0,0,0
5724,-10.5,0.156,-229.998,-0.0004,1,-0.0005,0.0,0,-0.01066,0.39682615,0,TRUE,0,0,0,NaN
5818,-10.5,0.156,-229.998,-0.0004,1,-0.0005,0.0,0,-0.01067,0.40476084,0,TRUE,0,0,0,NaN
5964,-10.5,0.156,-229.998,-0.0004,1,-0.0005,0.0,0,-0.0109,0.45633632,0,TRUE,0,0,0,NaN
6117,-10.5,0.156,-229.998,-0.0004,1,-0.0005,0.0,0.01,-0.01208,0.48015565,0,TRUE,0,0,0,NaN
6220,-10.5,0.156,-229.998,-0.0004,1,-0.0005,0.0001,0.03,-0.01208,0.5195392,0,TRUE,0,0,0,NaN
6329,-10.5,0.156,-229.997,-0.0004,1,-0.0005,0.0001,0.07,-0.01208,0.5781338,0,TRUE,0,0,0,0
6414,-10.5,0.156,-229.996,-0.0004,1,-0.0005,0.0001,0.14,-0.01208,0.58204013,0,TRUE,0,0,0,0
6502,-10.5,0.156,-229.994,-0.0004,1,-0.0005,0.0001,0.21,-0.01208,0.58594644,0,TRUE,0,0,0,0
6605,-10.501,0.156,-229.991,-0.0004,1,-0.0005,0.0001,0.28,-0.01208,0.62891585,0,TRUE,0,0,0,0.059612554
6731,-10.501,0.156,-229.987,-0.0004,1,-0.0006,0.0001,0.38,-0.01208,0.67188525,0,TRUE,0,0,0,0
6847,-10.501,0.156,-229.982,-0.0004,1,-0.0006,0.0001,0.5,-0.01208,0.7304799,0,TRUE,0,0,0,0
7230,-10.501,0.156,-229.975,-0.0004,1,-0.0006,0.0002,0.65,-0.01208,0.7617151,0,TRUE,0,0,0,0
7319,-10.501,0.156,-229.967,-0.0004,1,-0.0006,0.0002,0.82,-0.01208,0.76952773,0,TRUE,0,0,0,0
7403,-10.501,0.156,-229.956,-0.0004,1,-0.0006,0.0002,1.01,-0.01208,0.7656214,0,TRUE,0,0,0,0
7488,-10.501,0.156,-229.944,-0.0004,1,-0.0006,0.0003,1.21,-0.01208,0.7656214,0,TRUE,0,0,0,0
7581,-10.501,0.156,-229.929,-0.0004,1,-0.0006,0.0003,1.41,-0.01208,0.7656214,0,TRUE,0,0,0,0
7677,-10.501,0.156,-229.912,-0.0004,1,-0.0006,0.0004,1.62,-0.01208,0.7890593,0,TRUE,0,0,0,0
7822,-10.501,0.156,-229.892,-0.0004,1,-0.0006,0.0004,1.84,-0.01208,0.94531167,0,TRUE,0,0,0,0
7908,-10.501,0.156,-229.87,-0.0004,1,-0.0007,0.0005,2.15,-0.01208,0.94140536,0,TRUE,0,0,0,0
7995,-10.502,0.156,-229.843,-0.0004,1,-0.0007,0.0006,2.5,-0.01208,0.93749905,0,TRUE,0,0,0,0.041348726
8079,-10.502,0.156,-229.813,-0.0004,1,-0.0007,0.0007,2.85,-0.01208,0.93749905,0,TRUE,0,0,0,0
8168,-10.502,0.156,-229.779,-0.0004,1,-0.0007,0.0008,3.22,-0.01208,0.93749905,0,TRUE,0,0,0,0
8251,-10.502,0.156,-229.74,-0.0004,1,-0.0007,0.0009,3.6,-0.01208,0.93359274,0,TRUE,0,0,0,0
8335,-10.503,0.156,-229.698,-0.0004,1,-0.0007,0.001,3.99,-0.01208,0.9335927,0,TRUE,0,0,0,0.030705003
8427,-10.503,0.156,-229.651,-0.0004,1,-0.0007,0.0012,4.38,-0.01208,0.93749905,0,TRUE,0,0,0,0
8512,-10.504,0.156,-229.599,-0.0004,1,-0.0007,0.0013,4.79,-0.01208,0.93749905,0,TRUE,0,0,0,0.025746834
8596,-10.504,0.156,-229.543,-0.0004,1,-0.0007,0.0015,5.21,-0.01208,0.93749905,0,TRUE,0,0,0,0
8677,-10.505,0.156,-229.482,-0.0004,1,-0.0007,0.0016,5.64,-0.01208,0.93749905,0,TRUE,0,0,0,0.024178818
8761,-10.505,0.156,-229.416,-0.0004,1,-0.0007,0.0018,6.07,-0.01208,0.93749905,0,TRUE,0,0,0,0
8849,-10.506,0.156,-229.346,-0.0004,1,-0.0008,0.002,6.5,-0.01208,0.93359274,0,TRUE,0,0,0,0.019375673
8931,-10.507,0.156,-229.27,-0.0004,1,-0.0008,0.0022,6.94,-0.01208,0.93359274,0,TRUE,0,0,0,0.019621171
9020,-10.507,0.156,-229.19,-0.0004,1,-0.0008,0.0024,7.37,-0.01205,0.9335928,0,TRUE,0,0,0,0
9149,-10.508,0.156,-229.105,-0.0004,1,-0.0008,0.0026,7.8,-0.01178,0.9335928,0,TRUE,0,0,0,0.010896044
9333,-10.509,0.156,-229.016,-0.0004,1,-0.0008,0.0029,8.24,-0.01047,0.9335928,0,TRUE,0,0,0,0.007459819
9485,-10.51,0.156,-228.921,-0.0004,1,-0.0008,0.0031,8.67,-0.0086,0.93359274,0,TRUE,0,0,0,0.008274562
9635,-10.512,0.156,-228.822,-0.0004,1,-0.0007,0.0033,9.09,-0.00713,0.93359274,0,TRUE,0,0,0,0.015708497
9782,-10.513,0.156,-228.718,-0.0004,1,-0.0007,0.0035,9.51,-0.00543,0.9257802,0,TRUE,0,0,0,0.007626428
9929,-10.514,0.156,-228.609,-0.0004,1,-0.0007,0.0036,9.93,-0.00196,0.92578006,0,TRUE,0,0,0,0.007283252
10085,-10.515,0.156,-228.496,-0.0004,1,-0.0007,0.0037,10.36,0.00063,0.9257801,0,TRUE,0,0,0,0.00677882
